Cod Linha;Empresa;Setor;Nome Linha;Mercado;KM;CLASSE;orgão;TIPO;VIAGENS;Capacidade;PREFIXO;Cód Empresa;Grupo Cnx;KM CLASSE;Validação;Frequência;Caracteristica;Gestão;Check
3670;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - FOZ DO IGUACU (PR);SC - FOZ;0;LEITO DD;DER/PR;RODOVIARIO          ;0;9;20063508;3;CURITIBA (PR) - FOZ DO IGUACU (PR);0;Demais Mercados;Normal;Seccionado;Regional Sul;640
3683;CATARINENSE;BLUMENAU;CURITIBA (PR) - BLUMENAU (SC);CURITIBA - INTERIOR SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001027;3;CURITIBA (PR) - BLUMENAU (SC);0;Demais Mercados;Normal;Seccionado;Regional Sul;235,2
3687;CATARINENSE;BLUMENAU;CURITIBA (PR) - BLUMENAU (SC);CURITIBA - INTERIOR SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001027;3;CURITIBA (PR) - BLUMENAU (SC);0;Demais Mercados;Normal;Seccionado;Regional Sul;235,2
3689;CATARINENSE;CURITIBA;FLORIANOPOLIS (SC) - CURITIBA (PR);CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16015241;3;FLORIANOPOLIS (SC) - CURITIBA (PR);0;Vedetes;Normal;Seccionado;Regional Sul;297,75
3722;CATARINENSE;BALNEARIO CAMBORIU;CURITIBA (PR) - BALNEARIO CAMBORIU (SC);CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001014;3;CURITIBA (PR) - BALNEARIO CAMBORIU (SC);0;Vedetes;Normal;Seccionado;Regional Sul;224,71
3759;CATARINENSE;FOZ DO IGUACU;FOZ DO IGUACU (PR) - RIO DE JANEIRO (RJ);FOZ - RIO DE JANEIRO;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9034141;3;FOZ DO IGUACU (PR) - RIO DE JANEIRO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Sul;1430,5
3765;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - FLORIANOPOLIS (SC) - CNX FOZ;SC - FOZ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001057;3;CURITIBA (PR) - FLORIANOPOLIS (SC) - CNX FOZ;0;Demais Mercados;Normal;Seccionado;Regional Sul;302,7
3767;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - FOZ DO IGUACU (PR);CURITIBA - FOZ;0;LEITO DD;DER/PR;RODOVIARIO          ;0;9;20063508;3;CURITIBA (PR) - FOZ DO IGUACU (PR);0;Vedetes;Normal;Seccionado;Regional Sul;640
3772;CATARINENSE;BLUMENAU;CURITIBA (PR) - BLUMENAU (SC);CURITIBA - INTERIOR SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001027;3;CURITIBA (PR) - BLUMENAU (SC);0;Demais Mercados;Normal;Seccionado;Regional Sul;235,2
3773;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - FOZ DO IGUACU (PR);SC - FOZ;0;LEITO DD;DER/PR;RODOVIARIO          ;0;9;20063508;3;CURITIBA (PR) - FOZ DO IGUACU (PR);0;Demais Mercados;Normal;Seccionado;Regional Sul;640
3790;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - FOZ DO IGUACU (PR);CURITIBA - FOZ;0;LEITO DD;DER/PR;RODOVIARIO          ;0;9;00200635A8;3;CURITIBA (PR) - FOZ DO IGUACU (PR);0;Vedetes;Normal;Seccionado;Regional Sul;662
3792;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - FOZ DO IGUACU (PR);CURITIBA - FOZ;0;LEITO DD;DER/PR;RODOVIARIO          ;0;9;20063508;3;CURITIBA (PR) - FOZ DO IGUACU (PR);0;Vedetes;Normal;Seccionado;Regional Sul;647
3794;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - FOZ DO IGUACU (PR);CURITIBA - FOZ;0;LEITO DD;DER/PR;RODOVIARIO          ;0;9;10063588;3;CURITIBA (PR) - FOZ DO IGUACU (PR);0;Vedetes;Normal;Direto;Regional Sul;640
